API,X,Y,Pore Pressure,Thickness,Porosity,Oil Saturation,Cum. Gas
100052806018W500,256.8186647,6072.238414,15.5958004,36.3227997,0.0671415,0.0674037,0.52082328
100013105918W500,262.5228833,6063.768151,16.4144993,28.5564003,0.0725213,0.0763013,1.4509926
100153605920W500,273.7117831,6063.267474,17.809,32.2165985,0.0723941,0.0885611,1.721126
100012106321W500,283.7697136,6105.233958,17.5009995,31.2877998,0.0767722,0.201194,1.3379684
100010106320W500,267.3884428,6097.573707,17.1082001,33.3664017,0.0662666,0.121996,0.69337375
105143306221W500,283.117295,6094.484679,18.0303001,36.3754005,0.0742981,0.103171,1.059535
100073606020W500,271.6147345,6072.097325,17.7395,33.8017998,0.0704312,0.0713962,0.016008996
102161706119W500,267.5329598,6077.125163,17.3078003,37.0130997,0.0711356,0.0609276,1.3405432
100041506121W500,284.1647766,6083.015605,18.0109997,34.8508987,0.0665313,0.0899984,0.97077875
102083206221W500,285.0469673,6097.729671,18.0757008,35.8782997,0.0754627,0.119241,0.71456794
100161206120W500,271.082541,6076.346344,17.7670002,35.357399,0.0702516,0.0651826,1.4744798
100042706019W500,262.1488114,6070.358406,16.4386997,34.9127998,0.0712897,0.0561883,0.01088622
100131106018W500,254.232979,6064.501163,15.5331001,34.2508011,0.066501,0.0650646,0.4506345
102092206321W500,279.6007573,6100.672625,17.7889004,34.1165009,0.0813561,0.130463,0.47803056
102020806220W500,275.7466719,6089.10114,17.9405003,38.4967995,0.0695513,0.0603133,0.8013225
102040806219W500,266.6080393,6088.036096,17.6595001,37.5485001,0.0706364,0.0626255,0.5099512
103110106221W502,279.7423216,6085.131236,18.3029003,34.4157982,0.0652439,0.0943323,1.6364621
100132606018W500,253.3202299,6068.934174,14.5826998,37.3339996,0.0635598,0.0713767,0.57010756
102132706119W500,264.1950228,6079.17069,17.0300999,37.9127998,0.0707231,0.0630942,0.39442628
102100406020W502,277.601555,6070.300495,17.5501995,33.0267982,0.0689163,0.076864,2.8334282
102071306119W502,260.4639889,6080.037566,16.7229996,40.2307014,0.070289,0.0818944,1.5085092
100141106120W500,273.428991,6076.954676,17.9584007,34.0054016,0.0692608,0.0687777,0.3993645
100022906221W500,286.1872107,6096.293947,18.2786007,36.8069992,0.0729948,0.109065,2.058497
100131506321W502,281.3897549,6099.865047,17.8848991,34.6633987,0.0799254,0.125392,1.2296594
102110206221W500,281.3107406,6085.262583,18.2537994,34.4915009,0.0653962,0.0941105,1.0947215
103041506220W500,272.0798277,6091.15517,17.9092007,38.8577003,0.0689748,0.0528902,1.0304696
100071606321W500,285.1232622,6103.968365,17.6858997,32.7966003,0.0758313,0.169212,1.7826706
100012606220W500,269.8381788,6093.546733,17.5478001,36.1720009,0.0693306,0.0851291,1.2654176
100011606221W500,283.241507,6091.997459,18.1105995,38.0127983,0.0692854,0.0817068,0.5564686
1S2042606020W500,273.4200472,6074.975364,18.0018005,32.763401,0.0685403,0.0702412,1.3158625
100080505919W500,272.1549382,6058.299837,17.3290997,33.388401,0.0673957,0.0602972,0.6842702
100112606120W500,272.6642997,6080.950074,18.0543003,38.0437012,0.0716569,0.0615144,2.1263202
100142106120W500,277.4305245,6082.576817,18.0335007,35.0154991,0.067034,0.0851747,1.6704852
102162106020W500,276.9423103,6070.283848,17.7612,33.0810013,0.0698605,0.0754484,2.1694152
100043106020W500,280.3520481,6077.789826,17.7390995,34.7457008,0.0678275,0.0801979,2.0243405
100083606019W500,262.5493573,6072.937062,16.5156002,36.2083015,0.0733188,0.0408143,0.89069475
102030506018W500,260.3985977,6065.436423,16.3694,29.4417992,0.0719692,0.0742214,0.5162262
102161505919W500,268.3292972,6061.24615,17.4913006,33.5677986,0.0687112,0.0594919,1.1620055
102110106220W500,269.3031926,6088.387018,17.8139,38.1295013,0.0699486,0.0613652,1.320199
102140806120W500,278.0231033,6077.095922,17.8603001,33.8097,0.0688268,0.0726336,2.3810065
102160305919W500,269.1748567,6056.076555,17.4692001,34.1996002,0.0669933,0.048791,0.195957
102132506121W500,280.5832267,6082.728681,18.2502003,34.3507996,0.0652231,0.0938405,1.01666275
100083406220W500,272.0807815,6095.274701,17.3848991,34.6871986,0.0704722,0.102152,1.6297958
100163306020W502,275.895303,6074.261484,18.0709991,32.1621017,0.0680355,0.0706791,1.8553434
100110606319W500,268.3455209,6093.690861,17.4333992,35.4866982,0.0689137,0.0920085,1.2566298
100160406221W500,283.5072553,6087.333142,18.0499001,36.0591011,0.0683063,0.0886002,0.42996622
100163106220W502,275.7213191,6094.440707,17.8358002,36.0385017,0.0751028,0.0980412,1.0620769
100012406122W500,291.0041929,6083.750427,17.6119003,35.8147011,0.0678243,0.0852501,0.78305344
100013206120W500,276.0038839,6086.551683,17.9680004,37.0041008,0.0694557,0.0712451,1.5126569
100163206121W500,287.2109364,6089.529578,18.3083992,37.2928009,0.0703662,0.0906257,1.2090914
102130906019W500,268.5495698,6066.601454,17.4090996,33.2094994,0.0717728,0.0732081,0.50663712
100130306019W500,269.1645816,6066.192067,17.4262009,32.8482018,0.0714745,0.0751712,1.7036151
100160206019W500,264.5306292,6064.212989,16.6567001,31.0289001,0.0712945,0.0688247,0.6944093
100020206118W500,253.0033561,6074.277992,14.5531998,37.4346008,0.0634292,0.0720011,0.008318848
100163306017W500,246.8353524,6069.342789,14.1952,35.5853004,0.0613596,0.074235,0.2343226
